Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All characters,20000,10280,1216,35770,56108,83484,0,193459,18.370%,74.87131,700.03,9.73
Get character by Id,20000,5629,1104,13651,32764,105999,0,193456,21.230%,74.93303,54.71,9.45
Create new character,20000,8438,994,13191,56868,133120,0,193165,17.805%,75.24511,50.11,13.71
Update character,20000,5962,968,17607,30699,129973,0,193455,22.585%,75.41023,53.29,13.98
Delete character,20000,4207,871,3427,20937,100175,0,193449,13.310%,75.76332,42.55,11.93
TOTAL,100000,6903,1036,19322,36843,130521,0,193459,18.660%,374.04851,898.79,58.44
