Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All characters,16718,7124,45,25744,44204,58630,0,70796,88.659%,169.75519,1201.36,3.06
Get character by Id,11279,3136,25,6167,15070,49032,0,67046,81.266%,115.27769,260.60,3.46
Create new character,9908,3635,10,6935,18359,50939,0,67226,80.430%,102.57047,227.96,4.45
Update character,8779,3052,3,5088,16544,54610,0,66380,91.867%,90.89215,229.27,1.65
Delete character,7775,2634,1,5062,17208,48075,0,65693,93.453%,80.50071,206.41,0.96
TOTAL,54459,4366,8,12463,29880,54264,0,70796,86.832%,552.97869,2111.15,13.42
