Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All characters,16548,3671,1244,4630,30058,37523,15,61190,7.107%,69.49700,612.86,10.50
Get character by Id,16378,3035,1225,3512,20897,30581,3,61191,5.855%,68.99224,23.47,10.64
Create new character,16143,2867,1197,3259,5900,48353,28,61190,4.875%,68.02093,22.59,14.58
Update character,15939,2601,1188,3278,5933,31883,10,61191,4.197%,67.18598,22.11,14.49
Delete character,15763,2391,1198,3240,4985,30547,7,61191,3.140%,66.56194,20.82,11.71
TOTAL,80771,2920,1211,3400,8085,32739,3,61191,5.059%,339.21574,701.51,61.71
