Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get All characters,2000,3969,237,17091,17797,18610,0,18807,42.200%,86.35206,182.10,7.94
Get character by Id,2000,454,132,860,1401,11014,0,18642,41.100%,84.09368,108.22,7.93
Create new character,2000,351,154,1315,1440,1592,0,2740,41.100%,84.08661,108.26,10.98
Update character,2000,298,172,866,1289,1599,0,2746,41.100%,83.69952,107.76,10.98
Delete character,2000,230,119,611,770,1584,0,3094,41.100%,83.31945,106.41,8.91
TOTAL,10000,1060,152,1361,5994,17799,0,18807,41.320%,398.62872,577.82,44.25
